site,glatos_array,station_no,depth_ft,lon,lat,deployment,ID
COR_1,COR,1,14.8,-83.68583,43.73802,tube,1
DCK_1,DCK,1,11.5,-83.48641,43.84256,tube,2
NIR_1,NIR,1,10.8,-83.45053,43.87654,tube,3
TWR_1,TWR,1,19.7,-83.483046,44.260541,8ft bridle,4
LCR_1,LCR,1,13.1,-83.47688,44.00736,tube,5
HBC_1,HBC,1,24,-82.63966,43.87161,8ft bridle,6
HBC_2,HBC,2,50.9,-82.61624,43.87681,8ft bridle,7
HBC_3,HBC,3,72.2,-82.59209,43.88214,8ft bridle,8
HBC_4,HBC,4,114.8,-82.56873,43.88742,20ft bridle,9
OSC_1,OSC,1,11.8,-83.31855,44.45195,tube,10
OSC_2,OSC,2,18.7,-83.29331,44.45158,8ft bridle,11
OSC_3,OSC,3,30.8,-83.26799,44.45165,8ft bridle,12
OSC_4,OSC,4,53.8,-83.24261,44.45155,8ft bridle,13
OSC_5,OSC,5,85,-83.21752,44.45146,8ft bridle,14
OSC_6,OSC,6,101.7,-83.19199,44.45151,20ft bridle,15
SBG_1,SBG,1,16.7,-83.84483,43.694,8ft bridle,16
SBG_2,SBG,2,6.9,-83.7185,43.67768,tube,17
SBG_3,SBG,3,12.8,-83.6336017263764,43.681988146949,tube,18
SBG_4,SBG,4,21,-83.8505205691471,43.7565209687082,8ft bridle,19
SBG_5,SBG,5,26.2,-83.7290903627324,43.758460838076,8ft bridle,20
SBG_6,SBG,6,14.8,-83.59945,43.76006,tube,21
SBG_7,SBG,7,14.8,-83.53233,43.79985,tube,22
SBG_8,SBG,8,15.7,-83.8416438543044,43.8469796431019,8ft bridle,23
SBG_9,SBG,9,24.9,-83.729834700592,43.8483455161758,8ft bridle,24
SBG_10,SBG,10,18.7,-83.6053101344548,43.848813993425,8ft bridle,25
SBG_11,SBG,11,15.7,-83.47172,43.8729,8ft bridle,26
SBG_12,SBG,12,16.7,-83.813,43.9285,8ft bridle,27
SBG_13,SBG,13,19.7,-83.7298234345019,43.9323665954836,8ft bridle,28
SBG_14,SBG,14,45.9,-83.62099,43.93746,8ft bridle,29
SBG_15,SBG,15,11.5,-83.50615,43.94043,tube,30
SBG_16,SBG,16,18.7,-83.3600307070048,43.9595808646085,8ft bridle,31
SBG_17,SBG,17,42.7,-83.58584,44.01094,8ft bridle,32
SBG_18,SBG,18,23,-83.49397,44.03454,8ft bridle,33
SBG_19,SBG,19,24.9,-83.3565909885312,44.0290886157547,8ft bridle,34
SBG_20,SBG,20,30.8,-83.2342094265271,44.0350930004399,8ft bridle,35
SBG_21,SBG,21,32.8,-83.10695,44.04722,8ft bridle,36
SBG_22,SBG,22,32.8,-83.4807806152245,44.118651527423,8ft bridle,37
SBG_23,SBG,23,49.2,-83.3567590320544,44.1189582898012,8ft bridle,38
SBG_24,SBG,24,88.6,-83.2316496479386,44.1190092467746,8ft bridle,39
SBG_25,SBG,25,78.7,-83.1170228623664,44.1111573000121,8ft bridle,40
SBG_26,SBG,26,49.2,-83.4754013865975,44.2010350916604,8ft bridle,41
SBG_27,SBG,27,55.8,-83.3568019878699,44.2087345709419,8ft bridle,42
SBG_28,SBG,28,96.8,-83.2431634427082,44.2002822351885,8ft bridle,43
SBG_29,SBG,29,44.9,-83.3493366938251,44.2761123067633,8ft bridle,44
